,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,params
0,0.8775137111517367,0.8658592321755028,0.8585466179159049,0.8673065204143815,0.007810618366001567,4,1.0856850147247314,0.014734927691717059,0.011045694351196289,0.00017230170526643727,0.4160029192647807,0.7304484857455519,0.46643399949104897,0.32264159755217825,6,5,68,0.7395042344509163,305,"OrderedDict([('colsample_bylevel', 0.4160029192647807), ('colsample_bytree', 0.7304484857455519), ('gamma', 0.46643399949104897), ('learning_rate', 0.32264159755217825), ('max_depth', 6), ('min_child_weight', 5), ('n_estimators', 68), ('reg_alpha', 0.7395042344509163), ('reg_lambda', 305)])"
1,0.8713436928702011,0.8626599634369287,0.8610603290676416,0.8650213284582572,0.004518032488219659,5,2.046698252360026,0.004173290365074487,0.008634169896443685,0.00011457401280356038,0.8390144719977516,0.8844821246070537,0.15170505563867737,0.9517116675273961,6,2,57,0.35358739827483077,636,"OrderedDict([('colsample_bylevel', 0.8390144719977516), ('colsample_bytree', 0.8844821246070537), ('gamma', 0.15170505563867737), ('learning_rate', 0.9517116675273961), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 57), ('reg_alpha', 0.35358739827483077), ('reg_lambda', 636)])"
2,0.8745429616087751,0.8587751371115173,0.8578610603290676,0.8637263863497867,0.0076575718231945075,7,0.8183202743530273,0.0016133754536745261,0.005506118138631185,0.00022103595464793228,0.4503841871781403,0.9195352964526833,0.05242958017149263,0.43899947385152294,4,5,58,0.751552531588944,558,"OrderedDict([('colsample_bylevel', 0.4503841871781403), ('colsample_bytree', 0.9195352964526833), ('gamma', 0.05242958017149263), ('learning_rate', 0.43899947385152294), ('max_depth', 4), ('min_child_weight', 5), ('n_estimators', 58), ('reg_alpha', 0.751552531588944), ('reg_lambda', 558)])"
3,0.8775137111517367,0.8567184643510055,0.8580895795246801,0.8641072516758075,0.009496310018972994,6,0.695595900217692,0.001350740526076176,0.011037031809488932,0.0002576545900994062,0.8142720284737898,0.1801528457825951,0.29902353915801694,0.8047371333447475,5,2,88,0.8726303534373118,912,"OrderedDict([('colsample_bylevel', 0.8142720284737898), ('colsample_bytree', 0.1801528457825951), ('gamma', 0.29902353915801694), ('learning_rate', 0.8047371333447475), ('max_depth', 5), ('min_child_weight', 2), ('n_estimators', 88), ('reg_alpha', 0.8726303534373118), ('reg_lambda', 912)])"
4,0.8795703839122486,0.8658592321755028,0.8606032906764168,0.8686776355880561,0.00799563234110153,3,1.4625539779663086,0.0012767123388022752,0.013388713200887045,9.780981559201943e-05,0.8015579071911014,0.44364889457651413,0.263310119037226,0.7185561294859627,7,7,71,0.6502841020974786,354,"OrderedDict([('colsample_bylevel', 0.8015579071911014), ('colsample_bytree', 0.44364889457651413), ('gamma', 0.263310119037226), ('learning_rate', 0.7185561294859627), ('max_depth', 7), ('min_child_weight', 7), ('n_estimators', 71), ('reg_alpha', 0.6502841020974786), ('reg_lambda', 354)])"
5,0.8663162705667276,0.853290676416819,0.8519195612431444,0.8571755027422303,0.006487691758033989,9,2.433528264363607,0.01211259931910902,0.010082721710205078,0.00017458047491171688,0.7366877378057127,0.9399760402267441,0.08180359015566795,0.19654103884777585,6,4,73,0.5347651605863705,785,"OrderedDict([('colsample_bylevel', 0.7366877378057127), ('colsample_bytree', 0.9399760402267441), ('gamma', 0.08180359015566795), ('learning_rate', 0.19654103884777585), ('max_depth', 6), ('min_child_weight', 4), ('n_estimators', 73), ('reg_alpha', 0.5347651605863705), ('reg_lambda', 785)])"
6,0.8795703839122486,0.871800731261426,0.8603747714808044,0.8705819622181596,0.007883820251636548,1,1.605928659439087,0.003011205266150165,0.010119994481404623,0.00010479653018220241,0.6209085649172932,0.7776107350396038,0.17951146660167902,0.8755820423811133,5,6,82,0.4220825865286148,734,"OrderedDict([('colsample_bylevel', 0.6209085649172932), ('colsample_bytree', 0.7776107350396038), ('gamma', 0.17951146660167902), ('learning_rate', 0.8755820423811133), ('max_depth', 5), ('min_child_weight', 6), ('n_estimators', 82), ('reg_alpha', 0.4220825865286148), ('reg_lambda', 734)])"
7,0.878199268738574,0.8695155393053017,0.8610603290676416,0.8695917123705058,0.0069971501347744864,2,1.3832480907440186,0.0010499067064041606,0.006630659103393555,9.66418076616884e-05,0.5479690370134094,0.9208091341729433,0.24823335230189164,0.8392798726899214,4,1,79,0.02580108602772,386,"OrderedDict([('colsample_bylevel', 0.5479690370134094), ('colsample_bytree', 0.9208091341729433), ('gamma', 0.24823335230189164), ('learning_rate', 0.8392798726899214), ('max_depth', 4), ('min_child_weight', 1), ('n_estimators', 79), ('reg_alpha', 0.02580108602772), ('reg_lambda', 386)])"
8,0.8713436928702011,0.8560329067641682,0.8583180987202925,0.8618982327848873,0.006743790365292903,8,1.3771616617838542,0.0061544757451806615,0.007440328598022461,5.9648815318900246e-05,0.955923206446829,0.7036152301751524,0.4358259643599556,0.42166287670365904,5,3,50,0.37068548829201897,595,"OrderedDict([('colsample_bylevel', 0.955923206446829), ('colsample_bytree', 0.7036152301751524), ('gamma', 0.4358259643599556), ('learning_rate', 0.42166287670365904), ('max_depth', 5), ('min_child_weight', 3), ('n_estimators', 50), ('reg_alpha', 0.37068548829201897), ('reg_lambda', 595)])"
9,0.8439213893967094,0.8329524680073126,0.8368372943327239,0.837903717245582,0.004541090359777256,10,0.24294400215148926,0.0008252883366094512,0.008130947748819986,0.00023712956809239104,0.013594004182195795,0.819651719467114,0.37064137244273093,0.2620087152854045,5,3,66,0.15259458768584974,894,"OrderedDict([('colsample_bylevel', 0.013594004182195795), ('colsample_bytree', 0.819651719467114), ('gamma', 0.37064137244273093), ('learning_rate', 0.2620087152854045), ('max_depth', 5), ('min_child_weight', 3), ('n_estimators', 66), ('reg_alpha', 0.15259458768584974), ('reg_lambda', 894)])"
