,xgb_bayes_tuned
Accuracy,0.8668494820231566
KS,0.010664229128580133
FNR,0.122040072859745
FPR,0.14434250764525994
TNR,0.8556574923547401
Recall,0.8779599271402551
Precision,0.8596908442330559
F1,0.8687293481525984
